Rubric Name,Criteria Name,Criteria Description,Criteria Enable Range,Rating Name,Rating Description,Rating Points,Rating Name,Rating Description,Rating Points,Rating Name,Rating Description,Rating Points
PKI Environment Build Precursor - 50 Points,E6 Evidence - Second adapters,Annotated evidence shows each VM with one NAT adapter and one adapter attached to PKI-LAB.,false,Complete,"Required result is present, readable, correctly annotated, and attributable to the proper VM or role.",3,Partial,"Result appears substantially correct but is incomplete, weakly annotated, difficult to read, or missing context.",1.5,Missing or incorrect,"Result is absent, contradictory, unverifiable, unsafe, or belongs to the wrong role.",0
PKI Environment Build Precursor - 50 Points,Q6 Qualitative - Adapter purposes,Annotation clearly maps Adapter 1 and Adapter 2 to their distinct purposes.,false,Full credit,"Response is technically accurate, specific to the observed result, and explains why it matters.",1,Partial,"Response is substantially correct but incomplete, generic, or weakly connected to the submitted evidence.",0.5,Missing or incorrect,"Response is omitted, materially incorrect, or contradicted by the evidence.",0
PKI Environment Build Precursor - 50 Points,E7 Evidence - Static addressing,"Annotated evidence shows .10, .20, and .30 addresses, correct name resolution, and no lab-interface gateway.",false,Complete,"Required result is present, readable, correctly annotated, and attributable to the proper VM or role.",3,Partial,"Result appears substantially correct but is incomplete, weakly annotated, difficult to read, or missing context.",1.5,Missing or incorrect,"Result is absent, contradictory, unverifiable, unsafe, or belongs to the wrong role.",0
PKI Environment Build Precursor - 50 Points,Q7 Qualitative - Interface and route analysis,Annotation accurately interprets the interfaces and routing output rather than merely marking command text.,false,Full credit,"Response is technically accurate, specific to the observed result, and explains why it matters.",2,Partial,"Response is substantially correct but incomplete, generic, or weakly connected to the submitted evidence.",1,Missing or incorrect,"Response is omitted, materially incorrect, or contradicted by the evidence.",0
PKI Environment Build Precursor - 50 Points,E8 Evidence - Dual-network operation,Annotated evidence shows peer connectivity and Internet access succeeding over the appropriate adapters.,false,Complete,"Required result is present, readable, correctly annotated, and attributable to the proper VM or role.",2,Partial,"Result appears substantially correct but is incomplete, weakly annotated, difficult to read, or missing context.",1,Missing or incorrect,"Result is absent, contradictory, unverifiable, unsafe, or belongs to the wrong role.",0
PKI Environment Build Precursor - 50 Points,Q8 Qualitative - Routing answers,Answers identify the adapter used for lab and Internet traffic and explain why the lab interface omits a default gateway.,false,Full credit,"Response is technically accurate, specific to the observed result, and explains why it matters.",4,Partial,"Response is substantially correct but incomplete, generic, or weakly connected to the submitted evidence.",2,Missing or incorrect,"Response is omitted, materially incorrect, or contradicted by the evidence.",0
PKI Environment Build Precursor - 50 Points,E9 Evidence - Personalized HTTP site,Annotated evidence shows Apache serving the student-ID page on TCP 80 with no HTTPS listener.,false,Complete,"Required result is present, readable, correctly annotated, and attributable to the proper VM or role.",3,Partial,"Result appears substantially correct but is incomplete, weakly annotated, difficult to read, or missing context.",1.5,Missing or incorrect,"Result is absent, contradictory, unverifiable, unsafe, or belongs to the wrong role.",0
PKI Environment Build Precursor - 50 Points,Q9 Qualitative - HTTP evidence interpretation,"Annotation identifies the personalized document root, successful HTTP result, and absence of port 443.",false,Full credit,"Response is technically accurate, specific to the observed result, and explains why it matters.",1,Partial,"Response is substantially correct but incomplete, generic, or weakly connected to the submitted evidence.",0.5,Missing or incorrect,"Response is omitted, materially incorrect, or contradicted by the evidence.",0
PKI Environment Build Precursor - 50 Points,E10 Evidence - Client HTTP test,Annotated evidence shows the personalized HTTP page from the client and the expected HTTPS failure.,false,Complete,"Required result is present, readable, correctly annotated, and attributable to the proper VM or role.",2,Partial,"Result appears substantially correct but is incomplete, weakly annotated, difficult to read, or missing context.",1,Missing or incorrect,"Result is absent, contradictory, unverifiable, unsafe, or belongs to the wrong role.",0
PKI Environment Build Precursor - 50 Points,Q10 Qualitative - Roles and confidentiality,Answers distinguish name resolution from content serving and explain why plain HTTP is unsuitable for confidential data.,false,Full credit,"Response is technically accurate, specific to the observed result, and explains why it matters.",4,Partial,"Response is substantially correct but incomplete, generic, or weakly connected to the submitted evidence.",2,Missing or incorrect,"Response is omitted, materially incorrect, or contradicted by the evidence.",0
PKI Environment Build Precursor - 50 Points,E11 Evidence - Final readiness,Annotated evidence shows the role-appropriate precursor preflight passing and the readiness checklist completed.,false,Complete,"Required result is present, readable, correctly annotated, and attributable to the proper VM or role.",3,Partial,"Result appears substantially correct but is incomplete, weakly annotated, difficult to read, or missing context.",1.5,Missing or incorrect,"Result is absent, contradictory, unverifiable, unsafe, or belongs to the wrong role.",0
PKI Environment Build Precursor - 50 Points,Q11 Qualitative - Readiness interpretation,Annotation explains a resolved warning or why the displayed checks establish readiness for the PKI lab.,false,Full credit,"Response is technically accurate, specific to the observed result, and explains why it matters.",1,Partial,"Response is substantially correct but incomplete, generic, or weakly connected to the submitted evidence.",0.5,Missing or incorrect,"Response is omitted, materially incorrect, or contradicted by the evidence.",0
